,title,affiliations
130,Listening to Patients: Detecting and Mitigating Patient Misreport in Medical Dialogue System,"['Nankai University', 'Sichuan University', 'Universität Innsbruck', 'Nankai University']"
131,Do Language Models Understand the Cognitive Tasks Given to Them? Investigations with the N-Back Paradigm,"['Brown University', 'University of Michigan - Ann Arbor']"
132,Graph-guided Cross-composition Feature Disentanglement for Compositional Zero-shot Learning,"['PowerChina Huadong Engineering Corporation Limited', 'The Hong Kong University of Science and Technology', 'Nanjing University of Aeronautics and Astronautics', 'Hangzhou Dianzi University', 'Nanjing University of Aeronautics and Astronautics']"
133,Training Long-Context LLMs Efficiently via Chunk-wise Optimization,"['Shanghai Artificial Intelligence Laboratory', 'Shanghai Artificial Intelligence Laboratory', 'Xiamen University']"
134,Revisiting LoRA through the Lens of Parameter Redundancy: Spectral Encoding Helps,"['Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology (Guangzhou)', 'Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology']"
135,CODEMENV: Benchmarking Large Language Models on Code Migration,"['King Abdullah University of Science and Technology', 'KAUST']"
136,A Case Study of Cross-Lingual Zero-Shot Generalization for Classical Languages in LLMs,"['Eberhard-Karls-Universität Tübingen', 'Indian Institute of Technology, Kanpur, Dhirubhai Ambani Institute Of Information and Communication Technology', 'IIT Kanpur']"
137,BrainECHO: Semantic Brain Signal Decoding through Vector-Quantized Spectrogram Reconstruction for Whisper-Enhanced Text Generation,"['Harbin Institute of Technology, Shenzhen', 'Harbin Institute of Technology (Shenzhen), China', 'Harbin Institute of Technology', 'Harbin Institute of Technology']"
138,Progressive LoRA for Multimodal Continual Instruction Tuning,"['Kyoto University, Kyoto University', 'Mohamed bin Zayed University of Artificial Intelligence', 'Institute of automation, Chinese academy of science, Chinese Academy of Sciences', 'Baidu', 'Kyoto University']"
139,ARC ‘Challenge’ Is Not That Challenging,['Snowflake']
140,Cross-Lingual Transfer of Debiasing and Detoxification in Multilingual LLMs: An Extensive Investigation,"['University of Groningen', 'University of Amsterdam and University of Amsterdam']"
141,Tracr-Injection: Distilling Algorithms into Pre-trained Language Models,['Pontificia Universidad Catolica de Chile']
142,Model Performance-Guided Evaluation Data Selection for Effective Prompt Optimization,"['University of Manitoba', 'Huawei Technologies Canada Co., Ltd.', 'Queen’s University']"
143,Revisiting Weak-to-Strong Generalization in Theory and Practice: Reverse KL vs. Forward KL,"['Renmin University of China', 'Tongji University', 'Renmin University of China', 'Renmin University of China']"
144,Stories that (are) Move(d by) Markets: A Causal Exploration of Market Shocks and Semantic Shifts across Different Partisan Groups,"['University of Oxford', 'University of Oxford', 'University of Oxford', 'University of Oxford']"
145,NetSafe: Exploring the Topological Safety of Multi-agent System,"['Pennsylvania State University', 'Hong Kong Polytechnic University', 'Squirrel Ai Learning', 'University of Science and Technology of China']"
146,Reasoning is All You Need for Video Generalization: A Counterfactual Benchmark with Sub-question Evaluation,"['Westlake University', 'Westlake University']"
147,Initializing and Retrofitting Key-Value Adaptors for Traceable Model Editing,"['East China Normal University', 'East China Normal University']"
